Country Name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Czechia,2.27,2.6,4.32,4.3,4.02,3.89,4.26,5.89,8.48,8.76,7.99,7.02,7.54,8.21,7.93,7.15,5.32,4.39,6.66,7.28,6.71,6.98,6.95,6.11,5.05,3.95,2.89,2.24,2.01,2.55,2.81
Germany,5.32,6.32,7.68,8.73,8.16,8.82,9.86,9.79,8.85,7.92,7.77,8.48,9.78,10.73,11.17,10.25,8.66,7.52,7.74,6.97,5.82,5.38,5.23,4.98,4.62,4.12,3.75,3.38,3.14,3.86,3.57
Djibouti,29.887,29.681,29.745,29.494,29.426,29.309,29.119,28.955,28.757,28.678,28.52,28.351,28.219,28.094,27.948,27.768,27.619,27.455,27.402,27.194,26.971,26.873,26.714,26.51,26.337,26.197,26.06,26.149,26.315,28.048,27.954
Dominican Republic,6.431,6.294,6.343,6.413,6.379,6.383,6.352,6.388,6.405,6.43,7.26,6.78,6.94,6.3,6.59,5.65,5.16,4.76,5.47,5.21,6.09,6.72,7.35,6.72,7.61,7.28,5.83,5.86,6.18,6.13,7.7
East Asia & Pacific (excluding high income),2.4013154919408,2.35984143754534,2.61349699358968,2.91482224266632,2.99467022341499,3.10380060569862,3.1998389933647,3.36927483249157,3.45436354439149,3.40989658117218,3.83963321797896,4.15617297450824,4.4057104147867,4.39768539913734,4.47552857907772,4.37085826471366,4.34905237714961,4.43509361489876,4.41951670343562,4.15693333176793,4.1084924527681,4.04812019688007,4.04874684685966,4.04478878780239,4.12014060729104,4.03685498583431,3.91634063177899,3.81023505757628,3.89563247540528,4.36592889833535,4.08164725367185
Ecuador,4.439,4.589,4.615,4.49,4.632,4.683,4.538,4.622,5.189,4.8,4.25,4.899,5.66,5.0,3.78,3.55,3.14,3.92,4.61,4.09,3.46,3.23,3.08,3.48,3.62,4.6,3.84,3.53,3.81,6.11,4.5
Euro area,8.27379808438615,8.8823227908939,10.6720915702246,11.759744139834,11.4364770250027,11.6631205836788,11.6597917137899,11.1910856218587,10.437781470893,9.42774080158617,8.3481061419675,8.61140273377833,8.9511220662491,9.23646373133666,9.01680145513296,8.31056646193145,7.43404161794877,7.47970986335729,9.53340931611507,10.0619603338265,10.0992227592681,11.274297320512,11.9093476050367,11.5842639488234,10.8253318373878,9.99610503585714,9.03308214279167,8.15687280052436,7.52252388868987,7.84420047480282,7.70307532915311
Spain,15.93,17.7,22.16,24.21,22.68,22.14,20.7,18.67,15.48,13.79,10.35,11.15,11.28,11.09,9.15,8.45,8.23,11.25,17.86,19.86,21.39,24.79,26.09,24.44,22.06,19.64,17.22,15.25,14.1,15.53,14.78
Estonia,1.47,3.68,6.54,7.56,9.66,9.92,10.37,9.51,11.57,13.36,13.13,10.03,11.29,10.25,8.03,5.91,4.59,5.45,13.55,16.71,12.33,10.02,8.63,7.35,6.41,6.88,5.81,5.41,4.51,6.96,6.18
European Union,8.51816489621855,9.21998966919524,10.8152117109851,11.5016891315369,11.0599383995553,11.0939835832442,10.8705680751222,10.4421400168582,10.1804168790814,9.83065481419596,9.19640414710987,9.53856259717503,9.63937462334239,9.87462761209838,9.5667119568168,8.62236167897381,7.44703899309152,7.20169134900118,9.12136452853932,9.79471850581291,9.83128164217337,10.7978826993997,11.3173695269917,10.8364105496838,10.0180437816801,9.10498675930492,8.1230238591998,7.25380318803954,6.67980977871261,7.05481876168799,7.00043008729017
