Country Name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Albania,7.469486352835411,3.9349355381887,5.78663290827838,3.4001229812339,7.88584943690772,8.31465846776129,40.9992381026143,20.4196832752429,16.5821972034685,4.11688108231861,6.97612769104126,6.91520644292345,5.36697326309711,4.27737992521115,5.07809382866511,3.16309553181125,3.52812681499024,3.15073844161766,2.90048784499383,4.08457542468858,4.89544771627364,5.42840674878889,4.2950952090984,4.64616022595595,2.22030990322398,2.74204347492575,2.01434001712189,2.29404594278858,2.26174791010144,2.12777201167065,2.31196864129807
Armenia,5.14148623781696,8.53252942918357,7.75160278126351,4.65362574504326,3.4910500461586,3.45569997249081,3.05677843675128,2.8698831988397,2.80721060115011,2.87200016032704,2.80868976696971,2.22219538411372,10.69080048031071,2.70733541113172,1.9033579829131,2.6102875396933,2.5629137066955,3.25130165191263,3.27227725026832,1.90069351554648,2.42405536952164,2.23028862336636,2.17137714770311,2.49141025758587,2.60543817477592,3.03576444561533,2.45448421994563,1.76270034411436,2.58810044595098,1.85343036991797,2.18561731238222
Australia,1.96860816883803,1.72369323437234,1.88866404838088,1.79719709141623,1.9774483129172,1.94378982624249,1.97715940910201,1.79553800205111,2.04777523448822,1.90346358335012,1.80277135832717,1.87925103528248,1.53307282263429,1.31994610203354,1.28397511557077,1.37293979634563,1.22414721104701,1.22835824555239,1.21416975810599,1.04908593619237,1.10927057676792,1.06910609399713,1.06006540430473,1.03538284526998,0.990754226978393,0.938183172742481,0.84586083389231,0.884735037869462,0.887322993851443,0.860925458639047,0.744567483256587
Austria,1.3280661113889,1.23711605800238,1.01198218531861,1.10895970128658,0.981465959080042,1.24402475433338,0.828407550909723,0.965412892048534,0.750809325527336,1.02366558792704,0.870687322438091,0.80455581587406,0.615755660272331,0.722046711159838,0.656372596954589,0.737805332723898,0.542513661096779,0.697020591490472,0.611295628499106,0.729418238732372,0.917628045906905,0.960895526159402,0.719378730376734,0.491454225339134,0.509116600545148,0.618097446839757,0.795680952852948,0.972794280874553,0.867123024880969,0.729699452512114,0.728529506902089
Azerbaijan,4.73583649929088,7.37897499757305,6.17562522068493,6.37954087633286,5.61517898224564,5.03201525354784,3.5499727095848,3.48211260517923,2.98711977406019,2.75934921847538,2.6322071310355,2.53221194566208,10.69080048031071,9.829371666091161,9.858968585469837,9.30215815919199,2.1287593016363,2.13340539502668,10.005086385056467,2.23011241769356,2.2545108782554,2.12954911752328,2.29861661243509,2.42253022914826,2.13920441872443,1.69402364496151,1.80706736101741,1.94040465710907,1.64178691697142,2.23627706150472,1.91021189583004
Benin,7.469486352835411,8.18993300715397,8.50966095800175,10.776662198592488,10.79797039185694,10.087809867529137,9.990271455870145,8.835399097953347,8.600639245164984,9.067587914146834,9.14948074908402,9.51211816924337,10.69080048031071,9.829371666091161,9.858968585469837,9.30215815919199,9.218120978911012,9.290089911192837,10.005086385056467,9.961383938489586,10.055471637090053,8.910891010725937,8.430357400722698,8.631801808631531,8.224460038356403,8.945891636366595,1.1274974068,7.785687315567567,7.431064161663638,7.3376589954485905,8.096185259028053
Bulgaria,4.29963995961549,5.32961690609855,5.69004215334187,5.75541857451384,5.82713497408075,5.21343170452078,4.78424871457875,4.62663482019938,4.00622324513639,4.09993391326405,3.83329617234798,3.19756834332103,3.11957724802641,3.10222735474154,2.54631298677843,2.39504426711388,2.29303259455148,2.24106774891129,1.96470460568018,1.94935047444622,1.69690831259703,1.88292631855588,1.46679508973523,1.51923291217348,1.72384225010119,1.09026053017437,1.43405534771422,1.29260131166718,1.17688228851709,0.988655606762662,1.27797986237754
"Bahamas, The",10.1428144498882,14.5404250414491,12.1458403099618,17.6872853928533,13.3531850684685,16.7250129126938,14.830552873339,8.835399097953347,8.600639245164984,22.7682499830777,13.0450874627608,15.5687690492871,14.7714633054694,12.8246419666006,14.950949385286,17.2968926557677,21.808025073637,20.1215562507752,23.6376751938901,25.1827085878394,33.6023283503109,28.7912139684501,30.8569946842992,31.3519097681758,37.1787444534279,28.0319665434691,30.5749085258884,22.6420821758295,23.4824758933846,17.9594387306367,29.1734237464315
Brazil,18.3573272296112,16.6560029757244,17.6802553610291,18.5434988220254,20.7932131522543,23.4248819868581,24.0331008068879,24.5264547442023,24.736249894019,25.7997614021008,26.908980252251,27.5437239232765,27.9604675434352,26.1982810573398,25.4784150866907,26.0379315863291,25.0189417018062,26.0208631839934,26.4557107555774,26.6300331445086,26.3556376143373,28.1971430650446,28.179903857376,29.3586467160475,28.3564057690353,29.5891544359624,30.5930372112011,26.6360125717887,20.8104641962605,22.384065397269,8.096185259028053
Barbados,8.09554282542155,8.45462842868809,8.04611573762766,7.64200273965798,6.48104199905834,10.087809867529137,9.990271455870145,7.58605909919341,8.70653122332442,7.55695107252028,9.42057793361507,9.38244731755831,12.3364947158681,8.19351594942366,10.7615863320432,12.9425664369669,9.21000279984085,8.43617210524675,6.93958724065575,11.2845863471066,9.80084323551245,7.96531467518714,8.66848464052878,9.009236269023,11.1477508513645,7.89523737748924,10.7454860004227,10.0111373903468,17.1318743876693,14.6067055466292,11.3798210878753
